Field, member1, member2
plan.hios_id, 12345NY100001, 12345NY100001
enrollment.external_policy_id, plat_policy_ID_1, plat_policy_ID_1
enrollee.first_name, Joe, Jane
enrollee.ethnicity, 2135-1, 2135-1
enrollee.relationship_to_policy_holder, 18 (subscriber), 01 (spouse)
enrollee.coverage_start_date, 2025-03-01, 2025-03-01
enrollee.coverage_end_date, (leave blank), (leave blank)
enrollee.mailing_address.address_line_1, 123 first st, 123 first st
enrollee.change_type, ADDITION, ADDITION
enrollee.change_effective_date, (leave blank), (leave blank)
enrollee.addtional_maintenance_reason, (leave blank), (leave blank)
…, …, …
