oscar_member_id,platform_member_id,name_first,name_last,ssn,contract_id,coverage_start,coverage_end,exchange_status,plan_state,effectuated,effectuation_date,policy_status,policy_status_reason,month,total_premium,member_responsible,aptc,balance,oldest_unpaid_due_date,past_due_balance,email,address,city,state,zip,policy_relation
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-03-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-04-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-05-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-06-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-07-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-08-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-09-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-10-01,505.74,505.74,0.00,0.00,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-11-01,505.74,505.74,0.00,505.74,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-01,,JOHN,DOE,123456789,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-12-01,505.74,505.74,0.00,505.74,,0.00,john@gmail.com,123 Yemen St.,Dayton,OH,00000,Subscriber
OSC01234567-03,,Jane,Doe,650877958,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-03-01,,,,,,,,123 Yemen St.,Dayton,OH,00000,Child
OSC01234567-03,,Jane,Doe,650877958,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-04-01,,,,,,,,123 Yemen St.,Dayton,OH,00000,Child
OSC01234567-03,,Jane,Doe,650877958,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-05-01,,,,,,,,123 Yemen St.,Dayton,OH,00000,Child
OSC01234567-03,,Jane,Doe,650877958,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-06-01,,,,,,,,123 Yemen St.,Dayton,OH,00000,Child
OSC01234567-03,,Jane,Doe,650877958,d00f7fa0000a4b589a1777743d12we34,2024-03-01,2024-12-31,OFF,OH,TRUE,2024-02-22,EFFECTUATED,PAID,2024-07-01,,,,,,,,123 Yemen St.,Dayton,OH,00000,Child
